venue,venue_id
Arun Jaitley Stadium,1
Barabati Stadium,2
Brabourne Stadium,3
Buffalo Park,4
De Beers Diamond Oval,5
Dr DY Patil Sports Academy,6
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,7
Dubai International Cricket Stadium,8
Eden Gardens,9
Feroz Shah Kotla,10
Green Park,11
Himachal Pradesh Cricket Association Stadium,12
Holkar Cricket Stadium,13
JSCA International Stadium Complex,14
Kingsmead,15
M Chinnaswamy Stadium,16
M.Chinnaswamy Stadium,16
MA Chidambaram Stadium,17
"MA Chidambaram Stadium, Chepauk",17
"MA Chidambaram Stadium, Chepauk, Chennai",17
Maharashtra Cricket Association Stadium,18
Nehru Stadium,19
New Wanderers Stadium,20
Newlands,21
OUTsurance Oval,22
Punjab Cricket Association IS Bindra Stadium,23
"Punjab Cricket Association IS Bindra Stadium, Mohali",23
"Punjab Cricket Association Stadium, Mohali",23
Rajiv Gandhi International Stadium,24
"Rajiv Gandhi International Stadium, Uppal",24
"Sardar Patel Stadium, Motera",25
Saurashtra Cricket Association Stadium,25
Sawai Mansingh Stadium,26
Shaheed Veer Narayan Singh International Stadium,27
Sharjah Cricket Stadium,28
Sheikh Zayed Stadium,29
St George's Park,30
Subrata Roy Sahara Stadium,31
SuperSport Park,32
"Vidarbha Cricket Association Stadium, Jamtha",33
Wankhede Stadium,34
